Team,points,c,pos,wins,poles,FastLap,LapsLed,year
Red Bull,498.0,#121F45,1st,9,15,6,699,2010
McLaren,454.0,#FF8000,2nd,5,1,6,245,2010
Ferrari,396.0,#A6051A,3rd,5,2,5,168,2010
Mercedes,214.0,#00A19C,4th,0,0,0,16,2010
Renault,163.0,#FFF500,5th,0,0,2,0,2010
Williams,69.0,#005AFF,6th,0,1,0,0,2010
Force India,68.0,#F596C8,7th,0,0,0,0,2010
Sauber,44.0,#9B0000,8th,0,0,0,0,2010
Toro Rosso,13.0,#469BFF,9th,0,0,0,1,2010
HRT,0.0,,10th,0,0,0,0,2010
Lotus,0.0,,11th,0,0,0,0,2010
Virgin,0.0,,12th,0,0,0,0,2010
