,year,Team,c,FastLap,pct,angle
0,2004,Ferrari,#A6051A,14,4.08,0.1282282715750936
122,2015,Mercedes,#00A19C,13,3.79,0.11906910931972978
43,2008,Ferrari,#A6051A,13,3.79,0.11906910931972978
33,2007,Ferrari,#A6051A,12,3.5,0.10990994706436594
100,2013,Red Bull,#121F45,12,3.5,0.10990994706436594
11,2005,McLaren,#FF8000,12,3.5,0.10990994706436594
111,2014,Mercedes,#00A19C,12,3.5,0.10990994706436594
183,2021,Mercedes,#00A19C,10,2.92,0.09159162255363829
154,2018,Mercedes,#00A19C,10,2.92,0.09159162255363829
76,2011,Red Bull,#121F45,10,2.92,0.09159162255363829
164,2019,Mercedes,#00A19C,9,2.62,0.08243246029827446
133,2016,Mercedes,#00A19C,9,2.62,0.08243246029827446
174,2020,Mercedes,#00A19C,9,2.62,0.08243246029827446
144,2017,Mercedes,#00A19C,9,2.62,0.08243246029827446
21,2006,Ferrari,#A6051A,9,2.62,0.08243246029827446
184,2021,Red Bull,#121F45,8,2.33,0.07327329804291062
88,2012,Red Bull,#121F45,7,2.04,0.0641141357875468
145,2017,Ferrari,#A6051A,7,2.04,0.0641141357875468
165,2019,Ferrari,#A6051A,6,1.75,0.05495497353218297
55,2009,Red Bull,#121F45,6,1.75,0.05495497353218297
65,2010,McLaren,#FF8000,6,1.75,0.05495497353218297
156,2018,Red Bull,#121F45,6,1.75,0.05495497353218297
64,2010,Red Bull,#121F45,6,1.75,0.05495497353218297
77,2011,McLaren,#FF8000,6,1.75,0.05495497353218297
32,2007,McLaren,#FF8000,5,1.46,0.04579581127681914
166,2019,Red Bull,#121F45,5,1.46,0.04579581127681914
66,2010,Ferrari,#A6051A,5,1.46,0.04579581127681914
20,2006,Renault,#FFF500,5,1.46,0.04579581127681914
134,2016,Red Bull,#121F45,5,1.46,0.04579581127681914
155,2018,Ferrari,#A6051A,4,1.17,0.03663664902145531
135,2016,Ferrari,#A6051A,4,1.17,0.03663664902145531
54,2009,Brawn,#cccfc8,4,1.17,0.03663664902145531
90,2012,McLaren,#FF8000,3,0.87,0.027477486766091484
44,2008,McLaren,#FF8000,3,0.87,0.027477486766091484
91,2012,Lotus F1,#FFB800,3,0.87,0.027477486766091484
92,2012,Mercedes,#00A19C,3,0.87,0.027477486766091484
125,2015,Red Bull,#121F45,3,0.87,0.027477486766091484
123,2015,Ferrari,#A6051A,3,0.87,0.027477486766091484
175,2020,Red Bull,#121F45,3,0.87,0.027477486766091484
10,2005,Renault,#FFF500,3,0.87,0.027477486766091484
78,2011,Ferrari,#A6051A,3,0.87,0.027477486766091484
177,2020,McLaren,#FF8000,3,0.87,0.027477486766091484
22,2006,McLaren,#FF8000,3,0.87,0.027477486766091484
12,2005,Ferrari,#A6051A,3,0.87,0.027477486766091484
112,2014,Red Bull,#121F45,3,0.87,0.027477486766091484
61,2009,Renault,#FFF500,2,0.58,0.018318324510727655
146,2017,Red Bull,#121F45,2,0.58,0.018318324510727655
58,2009,Toyota,#8e0018,2,0.58,0.018318324510727655
68,2010,Renault,#FFF500,2,0.58,0.018318324510727655
103,2013,Lotus F1,#FFB800,2,0.58,0.018318324510727655
3,2004,Williams,#005AFF,2,0.58,0.018318324510727655
45,2008,BMW Sauber,#ffffff,2,0.58,0.018318324510727655
93,2012,Sauber,#9B0000,2,0.58,0.018318324510727655
4,2004,McLaren,#FF8000,2,0.58,0.018318324510727655
102,2013,Ferrari,#A6051A,2,0.58,0.018318324510727655
178,2020,Renault,#FFF500,2,0.58,0.018318324510727655
113,2014,Williams,#005AFF,2,0.58,0.018318324510727655
186,2021,McLaren,#FF8000,2,0.58,0.018318324510727655
106,2013,Sauber,#9B0000,1,0.29,0.009159162255363828
116,2014,Force India,#F596C8,1,0.29,0.009159162255363828
114,2014,Ferrari,#A6051A,1,0.29,0.009159162255363828
136,2016,Force India,#F596C8,1,0.29,0.009159162255363828
104,2013,McLaren,#FF8000,1,0.29,0.009159162255363828
138,2016,McLaren,#FF8000,1,0.29,0.009159162255363828
101,2013,Mercedes,#00A19C,1,0.29,0.009159162255363828
147,2017,Force India,#F596C8,1,0.29,0.009159162255363828
94,2012,Force India,#F596C8,1,0.29,0.009159162255363828
139,2016,Toro Rosso,#469BFF,1,0.29,0.009159162255363828
95,2012,Williams,#005AFF,1,0.29,0.009159162255363828
60,2009,Williams,#005AFF,1,0.29,0.009159162255363828
172,2019,Haas F1 Team,#F9F2F2,1,0.29,0.009159162255363828
159,2018,Haas F1 Team,#F9F2F2,1,0.29,0.009159162255363828
152,2017,McLaren,#FF8000,1,0.29,0.009159162255363828
62,2009,Force India,#F596C8,1,0.29,0.009159162255363828
27,2006,Williams,#005AFF,1,0.29,0.009159162255363828
57,2009,Ferrari,#A6051A,1,0.29,0.009159162255363828
188,2021,AlphaTauri,#00293F,1,0.29,0.009159162255363828
13,2005,Toyota,#8e0018,1,0.29,0.009159162255363828
