,year,Team,c,poles,pct,angle
133,2016,Mercedes,#00A19C,20,5.81,0.18265073567382517
111,2014,Mercedes,#00A19C,18,5.23,0.16438566210644268
122,2015,Mercedes,#00A19C,18,5.23,0.16438566210644268
76,2011,Red Bull,#121F45,18,5.23,0.16438566210644268
64,2010,Red Bull,#121F45,15,4.36,0.13698805175536888
174,2020,Mercedes,#00A19C,15,4.36,0.13698805175536888
144,2017,Mercedes,#00A19C,15,4.36,0.13698805175536888
154,2018,Mercedes,#00A19C,13,3.78,0.11872297818798636
0,2004,Ferrari,#A6051A,12,3.49,0.10959044140429511
100,2013,Red Bull,#121F45,11,3.2,0.10045790462060386
183,2021,Mercedes,#00A19C,11,3.2,0.10045790462060386
164,2019,Mercedes,#00A19C,10,2.91,0.09132536783691259
90,2012,McLaren,#FF8000,9,2.62,0.08219283105322134
33,2007,Ferrari,#A6051A,9,2.62,0.08219283105322134
101,2013,Mercedes,#00A19C,8,2.33,0.07306029426953008
165,2019,Ferrari,#A6051A,8,2.33,0.07306029426953008
44,2008,McLaren,#FF8000,8,2.33,0.07306029426953008
43,2008,Ferrari,#A6051A,8,2.33,0.07306029426953008
184,2021,Red Bull,#121F45,8,2.33,0.07306029426953008
32,2007,McLaren,#FF8000,8,2.33,0.07306029426953008
11,2005,McLaren,#FF8000,7,2.03,0.06392775748583882
88,2012,Red Bull,#121F45,7,2.03,0.06392775748583882
20,2006,Renault,#FFF500,7,2.03,0.06392775748583882
21,2006,Ferrari,#A6051A,7,2.03,0.06392775748583882
10,2005,Renault,#FFF500,7,2.03,0.06392775748583882
155,2018,Ferrari,#A6051A,6,1.74,0.054795220702147554
54,2009,Brawn,#cccfc8,5,1.45,0.04566268391845629
145,2017,Ferrari,#A6051A,5,1.45,0.04566268391845629
55,2009,Red Bull,#121F45,5,1.45,0.04566268391845629
56,2009,McLaren,#FF8000,4,1.16,0.03653014713476504
166,2019,Red Bull,#121F45,3,0.87,0.027397610351073777
2,2004,Renault,#FFF500,3,0.87,0.027397610351073777
22,2006,McLaren,#FF8000,3,0.87,0.027397610351073777
156,2018,Red Bull,#121F45,2,0.58,0.01826507356738252
185,2021,Ferrari,#A6051A,2,0.58,0.01826507356738252
89,2012,Ferrari,#A6051A,2,0.58,0.01826507356738252
13,2005,Toyota,#8e0018,2,0.58,0.01826507356738252
92,2012,Mercedes,#00A19C,2,0.58,0.01826507356738252
66,2010,Ferrari,#A6051A,2,0.58,0.01826507356738252
134,2016,Red Bull,#121F45,1,0.29,0.00913253678369126
65,2010,McLaren,#FF8000,1,0.29,0.00913253678369126
61,2009,Renault,#FFF500,1,0.29,0.00913253678369126
62,2009,Force India,#F596C8,1,0.29,0.00913253678369126
113,2014,Williams,#005AFF,1,0.29,0.00913253678369126
69,2010,Williams,#005AFF,1,0.29,0.00913253678369126
77,2011,McLaren,#FF8000,1,0.29,0.00913253678369126
1,2004,BAR,#d5d5d3,1,0.29,0.00913253678369126
123,2015,Ferrari,#A6051A,1,0.29,0.00913253678369126
58,2009,Toyota,#8e0018,1,0.29,0.00913253678369126
175,2020,Red Bull,#121F45,1,0.29,0.00913253678369126
12,2005,Ferrari,#A6051A,1,0.29,0.00913253678369126
176,2020,Racing Point,#F596C8,1,0.29,0.00913253678369126
3,2004,Williams,#005AFF,1,0.29,0.00913253678369126
48,2008,Toro Rosso,#469BFF,1,0.29,0.00913253678369126
45,2008,BMW Sauber,#ffffff,1,0.29,0.00913253678369126
4,2004,McLaren,#FF8000,1,0.29,0.00913253678369126
23,2006,Honda,#cccfc8,1,0.29,0.00913253678369126
186,2021,McLaren,#FF8000,1,0.29,0.00913253678369126
15,2005,BAR,#d5d5d3,1,0.29,0.00913253678369126
14,2005,Williams,#005AFF,1,0.29,0.00913253678369126
