,year,Team,c,wins,pct,angle
133,2016,Mercedes,#00A19C,19,5.52,0.17351819889013392
111,2014,Mercedes,#00A19C,16,4.65,0.14612058853906015
122,2015,Mercedes,#00A19C,16,4.65,0.14612058853906015
0,2004,Ferrari,#A6051A,15,4.36,0.13698805175536888
164,2019,Mercedes,#00A19C,15,4.36,0.13698805175536888
174,2020,Mercedes,#00A19C,13,3.78,0.11872297818798636
100,2013,Red Bull,#121F45,13,3.78,0.11872297818798636
144,2017,Mercedes,#00A19C,12,3.49,0.10959044140429511
76,2011,Red Bull,#121F45,12,3.49,0.10959044140429511
154,2018,Mercedes,#00A19C,11,3.2,0.10045790462060386
184,2021,Red Bull,#121F45,11,3.2,0.10045790462060386
11,2005,McLaren,#FF8000,10,2.91,0.09132536783691259
64,2010,Red Bull,#121F45,9,2.62,0.08219283105322134
33,2007,Ferrari,#A6051A,9,2.62,0.08219283105322134
183,2021,Mercedes,#00A19C,9,2.62,0.08219283105322134
21,2006,Ferrari,#A6051A,9,2.62,0.08219283105322134
20,2006,Renault,#FFF500,8,2.33,0.07306029426953008
32,2007,McLaren,#FF8000,8,2.33,0.07306029426953008
43,2008,Ferrari,#A6051A,8,2.33,0.07306029426953008
54,2009,Brawn,#cccfc8,8,2.33,0.07306029426953008
10,2005,Renault,#FFF500,8,2.33,0.07306029426953008
88,2012,Red Bull,#121F45,7,2.03,0.06392775748583882
90,2012,McLaren,#FF8000,7,2.03,0.06392775748583882
55,2009,Red Bull,#121F45,6,1.74,0.054795220702147554
44,2008,McLaren,#FF8000,6,1.74,0.054795220702147554
77,2011,McLaren,#FF8000,6,1.74,0.054795220702147554
155,2018,Ferrari,#A6051A,6,1.74,0.054795220702147554
145,2017,Ferrari,#A6051A,5,1.45,0.04566268391845629
65,2010,McLaren,#FF8000,5,1.45,0.04566268391845629
66,2010,Ferrari,#A6051A,5,1.45,0.04566268391845629
156,2018,Red Bull,#121F45,4,1.16,0.03653014713476504
165,2019,Ferrari,#A6051A,3,0.87,0.027397610351073777
112,2014,Red Bull,#121F45,3,0.87,0.027397610351073777
101,2013,Mercedes,#00A19C,3,0.87,0.027397610351073777
89,2012,Ferrari,#A6051A,3,0.87,0.027397610351073777
166,2019,Red Bull,#121F45,3,0.87,0.027397610351073777
146,2017,Red Bull,#121F45,3,0.87,0.027397610351073777
123,2015,Ferrari,#A6051A,3,0.87,0.027397610351073777
46,2008,Renault,#FFF500,2,0.58,0.01826507356738252
175,2020,Red Bull,#121F45,2,0.58,0.01826507356738252
102,2013,Ferrari,#A6051A,2,0.58,0.01826507356738252
134,2016,Red Bull,#121F45,2,0.58,0.01826507356738252
56,2009,McLaren,#FF8000,2,0.58,0.01826507356738252
95,2012,Williams,#005AFF,1,0.29,0.00913253678369126
91,2012,Lotus F1,#FFB800,1,0.29,0.00913253678369126
103,2013,Lotus F1,#FFB800,1,0.29,0.00913253678369126
92,2012,Mercedes,#00A19C,1,0.29,0.00913253678369126
78,2011,Ferrari,#A6051A,1,0.29,0.00913253678369126
57,2009,Ferrari,#A6051A,1,0.29,0.00913253678369126
187,2021,Alpine F1 Team,#005BA9,1,0.29,0.00913253678369126
4,2004,McLaren,#FF8000,1,0.29,0.00913253678369126
180,2020,AlphaTauri,#00293F,1,0.29,0.00913253678369126
176,2020,Racing Point,#F596C8,1,0.29,0.00913253678369126
186,2021,McLaren,#FF8000,1,0.29,0.00913253678369126
12,2005,Ferrari,#A6051A,1,0.29,0.00913253678369126
7,2004,Toyota,#8e0018,1,0.29,0.00913253678369126
23,2006,Honda,#cccfc8,1,0.29,0.00913253678369126
3,2004,Williams,#005AFF,1,0.29,0.00913253678369126
45,2008,BMW Sauber,#ffffff,1,0.29,0.00913253678369126
48,2008,Toro Rosso,#469BFF,1,0.29,0.00913253678369126
